symbol,trade_date,probe_index,sequence_label,event_role,oib_ratio,amount_vs_day_median,same_day_pullback_ratio,day_gap_pct,bar_high_ret_pct,bar_close_ret_pct,day_return_pct,big_rise_20d,big_rise_40d,monster_60d,fail_20d,deep_fail_20d,days_to_up_15,days_to_up_20,days_to_up_30,days_to_down_8,days_to_down_15
sz001269,2025-06-20,3,重新试盘,retest_probe,0.2598766593479932,24.994165978993507,1.0701754385964928,0.4482294935006736,5.087014725568939,3.1682284694332985,-0.3569834895136181,1,1,1,0,0,7.0,7.0,9.0,,
sz001277,2024-09-18,1,首次试盘,first_probe,0.7961314892282289,19.300797586310345,0.8930232558139519,1.3270142180094924,6.708268330733258,6.053042121684893,0.654817586529477,1,1,1,0,0,8.0,9.0,9.0,,
sz001296,2025-06-06,1,首次试盘,first_probe,0.6836836628837168,18.90460085528317,0.7090909090909082,0.2266288951841444,6.186726659167596,5.399325084364448,2.317693612210281,1,1,1,0,0,10.0,11.0,58.0,,
sz001318,2025-02-21,2,重新试盘,retest_probe,1.2569477638939714,39.47374295075035,0.7634408602150549,0.171086398631326,7.941929974380879,4.782237403928247,1.8787361229718025,1,1,1,0,0,16.0,17.0,18.0,,
sz001330,2025-11-25,1,首次试盘,first_probe,0.327534657369221,17.92714464844033,0.7777777777777778,1.81818181818183,5.240174672489095,4.366812227074224,3.4226190476190466,1,1,1,0,0,6.0,7.0,9.0,,
sz001358,2025-08-06,1,首次试盘,first_probe,0.5923826290554577,19.001708626758976,0.7565217391304335,0.0838222967309176,4.813729593972371,2.8463792381749675,1.2144053601340188,1,1,1,0,0,14.0,26.0,37.0,,
sz001359,2025-04-23,1,首次试盘,first_probe,0.5965884335563946,18.682719418137445,0.8030303030303042,0.4878048780487809,6.315789473684208,4.529505582137161,2.7184466019417375,0,0,1,0,0,48.0,49.0,57.0,30.0,
sz001360,2025-11-06,3,重新试盘,retest_probe,0.4417281999979879,28.699581763243195,0.8333333333333348,-0.1257861635220125,4.779411764705888,3.4313725490195957,3.5894206549118346,0,1,1,0,0,22.0,22.0,23.0,,
sz002006,2024-10-29,1,首次试盘,first_probe,0.6739437281609609,15.708448240088044,0.7142857142857151,0.9916094584286884,7.313432835820888,5.597014925373145,3.3232628398791597,1,1,1,0,0,16.0,16.0,17.0,,
sz002029,2024-10-25,1,首次试盘,first_probe,0.513252327721946,33.746848304151726,0.513513513513512,2.5210084033613356,6.0655737704917945,4.754098360655745,2.9508196721311553,0,1,1,0,0,26.0,26.0,27.0,55.0,
sz002029,2024-11-26,2,重新试盘,retest_probe,0.36563977719021,13.916763553141722,0.5714285714285711,0.319488817891389,5.520504731861209,3.312302839116721,3.343949044585992,1,1,1,0,0,4.0,4.0,5.0,28.0,
sz002029,2025-09-23,3,重新试盘,retest_probe,0.4610970162844141,18.078398149588143,0.5529411764705872,-0.9345794392523366,11.564625850340128,7.346938775510203,4.17789757412399,1,1,1,0,0,2.0,2.0,14.0,,
sz002029,2025-10-22,4,重新试盘,retest_probe,0.2621573982318511,19.28071267788028,0.9230769230769248,-2.263374485596714,5.427974947807934,5.219206680584554,1.2631578947368327,1,1,1,0,0,16.0,19.0,34.0,4.0,
