symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name
sz000617,2026-04-07,63.28,18.23,4.9,4.8,-13.87,3.87,9056598187.279997,2.3059357217782277,7.757009345794397,-2.5123759422116407,0.41293624081198077,0.04003,0.01609,0.04286,0.01776,0.45,0.45,1.0,52.1,63.49,61.73,100.0,7,趋势中继原型
sz000951,2026-04-07,60.23,17.78,14.37,8.57,-14.74,-2.92,503551165.5200001,1.0535456316959386,-0.8592471358428888,5.34309460533488,0.018643418112845644,0.0041,0.02737,0.01325,0.05199,0.6,0.65,1.0,58.24,76.68,50.83,32.13,8,趋势中继原型
sh603966,2026-04-07,59.63,10.06,23.8,11.31,-20.25,-0.73,505764577.1400001,3.0942915763619707,-0.7309941520467822,-4.254915783483796,0.010475636372084707,0.0224,0.01472,0.05431,0.0743,0.55,0.6,1.0,55.08,91.43,18.88,63.84,9,趋势中继原型
sz002840,2026-04-07,58.33,19.27,9.7,3.07,-18.18,6.94,1110333396.66,2.450964130827417,10.034013605442183,10.160146668500566,1.1877271078731926,-0.00309,0.00959,-0.00232,0.00962,0.45,0.6,1.0,57.72,36.57,72.86,100.0,10,趋势中继原型
sz000703,2026-04-08,76.59,18.99,16.64,16.16,-17.09,4.73,1497341729.48,2.4260690753748095,4.731638418079087,5.46809922264265,0.09689951197739499,0.01663,0.03176,0.02762,0.06267,0.6,0.6,1.0,63.56,84.97,71.14,100.0,1,趋势中继原型
sh603588,2026-04-08,71.03,10.41,18.49,7.16,-20.5,5.17,1757367288.5799997,1.3251180041665123,7.927590511860183,6.489800135756234,-0.08091784989061868,0.01962,0.02741,0.0489,0.08563,0.75,0.6,1.0,54.18,100.0,48.09,77.5,2,趋势中继原型
sz002990,2026-04-08,63.91,16.23,8.68,6.94,-13.54,0.4,495853053.42,2.098686204700263,4.249201277955272,11.439726733305633,0.001548805104058637,0.01684,0.03893,-0.00049,0.03701,0.55,0.45,1.0,52.9,71.25,67.14,63.11,3,趋势中继原型
sz000062,2026-04-08,63.37,13.48,0.93,9.39,-15.45,-0.81,2389062691.3399997,2.112828502281994,4.735479097299278,-7.199182514274277,-0.13867338920025496,0.04942,0.03849,0.06992,0.05267,0.6,0.55,1.0,42.45,91.43,34.53,100.0,4,趋势中继原型
sz000065,2026-04-08,62.96,13.27,5.06,2.68,-16.49,1.06,1794653084.8500001,2.2128645876954014,8.299866131191425,2.30956423945657,0.1490831781131461,0.00462,0.01236,0.01299,0.02801,0.5,0.4,1.0,45.86,57.48,76.34,100.0,5,趋势中继原型
sz002947,2026-04-08,61.76,15.91,8.5,7.88,-13.37,6.45,958226958.19,1.8279459623982333,9.030837004405301,12.044222830883456,0.10634791270378119,0.00369,0.01977,-0.00651,0.00906,0.5,0.55,1.0,52.33,46.42,82.77,91.21,6,趋势中继原型
